task_id,case_id,csv_path,csv_mb,original_kind,original_score,original_elapsed_s,original_notes,streaming_kind,streaming_score,streaming_elapsed_s,streaming_notes,parity_status
bbpd,profile_fast_skip_source_error_control,results/e2e-wall-unified-full-20260602-r28-edge-interval-streaming-evas-only-r14-exactrows/evas/vbr1_l1_bang_bang_phase_detector/dut/gold/bbpd/profile_fast_skip_source_error_control/tran.csv,0.235,ok,1.0,0.899,data_edges=150 up_edges=60 down_edges=60 overlap_frac=0.0000 direction_up=60/60 direction_down=90/90 wrong_direction=0 missing_direction=0,ok,1.0,0.249,streaming_checker:data_edges=150 up_edges=60 down_edges=60 overlap_frac=0.0000 direction_up=60/60 direction_down=90/90 wrong_direction=0 missing_direction=0,match
vbr1_l1_bang_bang_phase_detector_bugfix,profile_fast_skip_source_error_control,results/e2e-wall-unified-full-20260602-r28-edge-interval-streaming-evas-only-r14-exactrows/evas/vbr1_l1_bang_bang_phase_detector/bugfix/fixed/vbr1_l1_bang_bang_phase_detector_bugfix/profile_fast_skip_source_error_control/tran.csv,0.235,ok,1.0,0.848,data_edges=150 up_edges=60 down_edges=60 overlap_frac=0.0000 direction_up=60/60 direction_down=90/90 wrong_direction=0 missing_direction=0,ok,1.0,0.242,streaming_checker:data_edges=150 up_edges=60 down_edges=60 overlap_frac=0.0000 direction_up=60/60 direction_down=90/90 wrong_direction=0 missing_direction=0,match
