model,model_id,model_slug,provider,reasoning_mode,task_id,sample_idx,status,finish_reason,family,source_collection,task_form,core_function,benchmark_split,input_tokens,output_tokens,reasoning_tokens,total_tokens,api_elapsed_s,task_elapsed_s,api_call_count,generated_at,meta_path
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_cdac_calibration_tb,0,source_selected,,tb-generation,balanced_supplement_v1,tb-generation,data conversion/calibration,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:41:59.429853+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_cdac_calibration_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_debounce_latch_bugfix,0,generated,stop,bugfix,balanced_supplement_v1,bugfix,stateful analog memory,benchmark-vabench-main-v1,2935,318,0,3253,6.984,6.992,1,2026-05-09T03:42:06.453860+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_debounce_latch_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_debounce_latch_dut,0,source_selected,,spec-to-va,balanced_supplement_v1,spec-to-va,stateful analog memory,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:41:59.437285+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_debounce_latch_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_debounce_latch_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,stateful analog memory,benchmark-vabench-main-v1,3608,706,0,4314,12.353,12.37,1,2026-05-09T03:42:11.818637+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_debounce_latch_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_debounce_latch_tb,0,generated,stop,tb-generation,balanced_supplement_v1,tb-generation,stateful analog memory,benchmark-vabench-main-v1,3069,780,0,3849,12.829,12.835,1,2026-05-09T03:42:12.290153+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_debounce_latch_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_edge_detector_bugfix,0,source_selected,,bugfix,balanced_supplement_v1,bugfix,event/timing,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:41:59.452663+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_edge_detector_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_edge_detector_dut,0,source_selected,,spec-to-va,balanced_supplement_v1,spec-to-va,event/timing,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:41:59.464690+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_edge_detector_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_edge_detector_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,event/timing,benchmark-vabench-main-v1,3318,586,0,3904,10.899,10.91,1,2026-05-09T03:42:10.391835+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_edge_detector_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_edge_detector_tb,0,generated,stop,tb-generation,balanced_supplement_v1,tb-generation,event/timing,benchmark-vabench-main-v1,2546,266,0,2812,6.762,6.774,1,2026-05-09T03:42:06.628223+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_edge_detector_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_element_shuffler_bugfix,0,generated,stop,bugfix,balanced_supplement_v1,bugfix,pointer/selection,benchmark-vabench-main-v1,3016,347,0,3363,6.178,6.184,1,2026-05-09T03:42:12.660515+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_element_shuffler_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_element_shuffler_dut,0,source_selected,,spec-to-va,balanced_supplement_v1,spec-to-va,pointer/selection,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:06.637388+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_element_shuffler_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_element_shuffler_e2e,0,source_selected,,end-to-end,balanced_supplement_v1,end-to-end,pointer/selection,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:06.644914+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_element_shuffler_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_element_shuffler_tb,0,source_selected,,tb-generation,balanced_supplement_v1,tb-generation,pointer/selection,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:06.652784+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_element_shuffler_tb/sample_0/generation_meta.json
