group,tasks,generated,api_error,no_code_extracted,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_tokens,avg_tokens_per_task,avg_reasoning_tokens_per_task,api_elapsed_s,avg_api_elapsed_s_per_task,task_elapsed_s,avg_task_elapsed_s_per_task,api_call_count,model_id,provider,reasoning_mode,result:results-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508:evas:pass_count,result:results-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508:evas:seen_count,result:results-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508:evas:pass_rate,result:results-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508:spectre:pass_count,result:results-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508:spectre:seen_count,result:results-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508:spectre:pass_rate,model,source_collection,task_form,core_function
source_collection+task_form,4,2,0,0,7671,1561,0,9232,2308.0,0.0,37.641,9.41,37.729,9.432,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,0,2,0.0,,balanced_supplement_v1,spec-to-va,
source_collection+task_form,4,3,0,0,8450,1223,0,9673,2418.25,0.0,31.017,7.754,24.494,6.123,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,2,0.5,0,2,0.0,,balanced_supplement_v1,tb-generation,
source_collection+task_form,8,8,0,0,19921,7191,0,27112,3389.0,0.0,127.207,15.901,127.284,15.91,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,,,,,original92,bugfix,
source_collection+task_form,8,7,0,0,20523,8926,0,29449,3681.12,0.0,149.914,18.739,150.088,18.761,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,0,1,0.0,,original92,end-to-end,
source_collection+task_form,8,8,0,0,20347,6202,0,26549,3318.62,0.0,115.618,14.452,115.696,14.462,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,,,,,original92,spec-to-va,
source_collection+task_form,8,7,0,0,18483,4364,0,22847,2855.88,0.0,86.77,10.846,81.128,10.141,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,2,0.5,0,2,0.0,,original92,tb-generation,
core_function,4,3,0,0,7713,1259,0,8972,2243.0,0.0,31.128,7.782,31.16,7.79,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,0,1,0.0,,,,analog_limiter
core_function,4,4,0,0,11224,13492,0,24716,6179.0,0.0,193.54,48.385,193.827,48.457,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,,,,,,,calibration
core_function,4,3,0,0,9776,1852,0,11628,2907.0,0.0,37.29,9.322,37.305,9.326,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,0,1,0.0,,,,comparator
core_function,8,8,0,0,20023,4045,0,24068,3008.5,0.0,85.179,10.647,85.221,10.653,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,,,,,,,data-converter
core_function,8,7,0,0,17737,4958,0,22695,2836.88,0.0,100.389,12.549,100.422,12.553,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,0,1,0.0,,,,digital-logic
core_function,4,4,0,0,9843,1330,0,11173,2793.25,0.0,27.346,6.837,27.362,6.84,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,,,,,,,phase-detector
core_function,4,3,0,0,7703,1563,0,9266,2316.5,0.0,40.989,10.247,41.145,10.286,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,0,1,0.0,,,,pulse_stretcher
core_function,4,4,0,0,10671,1006,0,11677,2919.25,0.0,35.765,8.941,30.059,7.515,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,1,1.0,0,1,0.0,,,,sample-hold
core_function,4,4,0,0,9704,1247,0,10951,2737.75,0.0,34.035,8.509,27.563,6.891,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,1,1.0,0,1,0.0,,,,threshold_detector
core_function,4,3,0,0,7852,1749,0,9601,2400.25,0.0,37.641,9.41,37.709,9.427,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,0,1,0.0,,,,window_detector
model+source_collection+task_form,4,4,0,0,8412,952,0,9364,2341.0,0.0,26.714,6.678,26.797,6.699,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,,,,mimo-v2.5-pro,balanced_supplement_v1,bugfix,
model+source_collection+task_form,4,4,0,0,8439,2082,0,10521,2630.25,0.0,48.421,12.105,48.557,12.139,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,,,,mimo-v2.5-pro,balanced_supplement_v1,end-to-end,
model+source_collection+task_form,4,2,0,0,7671,1561,0,9232,2308.0,0.0,37.641,9.41,37.729,9.432,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,0,2,0.0,mimo-v2.5-pro,balanced_supplement_v1,spec-to-va,
model+source_collection+task_form,4,3,0,0,8450,1223,0,9673,2418.25,0.0,31.017,7.754,24.494,6.123,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,2,0.5,0,2,0.0,mimo-v2.5-pro,balanced_supplement_v1,tb-generation,
model+source_collection+task_form,8,8,0,0,19921,7191,0,27112,3389.0,0.0,127.207,15.901,127.284,15.91,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,,,,mimo-v2.5-pro,original92,bugfix,
model+source_collection+task_form,8,7,0,0,20523,8926,0,29449,3681.12,0.0,149.914,18.739,150.088,18.761,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,0,1,0.0,mimo-v2.5-pro,original92,end-to-end,
model+source_collection+task_form,8,8,0,0,20347,6202,0,26549,3318.62,0.0,115.618,14.452,115.696,14.462,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,,,,mimo-v2.5-pro,original92,spec-to-va,
model+source_collection+task_form,8,7,0,0,18483,4364,0,22847,2855.88,0.0,86.77,10.846,81.128,10.141,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,2,0.5,0,2,0.0,mimo-v2.5-pro,original92,tb-generation,
